0min_1,0min_2,0min_3,0min_4,60min_1,60min_2,60min_3
1995145.5609000002,1995145.5609000002,1998948.834,2047231.3705000002,1932135.9000999997,1960187.3684999999,1912127.6232999999
1991283.0111000002,1979444.0633999999,1960187.3684999999,2121430.4693,1912127.6232999999,1940089.4943,1923445.6265
1836039.9711,1840838.0322,1912127.6232999999,1773395.3204,2070895.3888,2070895.3888,2110640.8313
1932135.9000999997,1987207.0408,1925667.1335999998,2161472.8726999997,1960187.3684999999,1956018.5879000002,1831467.7914999998
1872844.352,1956018.5879000002,1940089.4943,1580953.9641,2012789.6120000002,2214594.6418,2292706.1824000003
1686956.8002,1809847.0892999999,1819769.3294,1991283.0111000002,2063921.5517000002,2077047.6619,2245272.3858
1935620.0425,1969405.0629,1880308.5518,2019680.3495,1945010.9456,1974058.6945,1840838.0322
1661917.1746,1702618.7123,1745580.9937,1912127.6232999999,2214594.6418,2040092.5850000002,2386185.1946
2070895.3888,2032615.5752,2040092.5850000002,1578474.9006,1974058.6945,1998948.834,2002400.6669
1745580.9937,1814124.8960000002,1803184.6270999997,1880308.5518,2125909.5094999997,2032615.5752,2208621.6533999997
2121430.4693,2102786.8937,2130729.6173,1760269.9695000001,1923445.6265,1903856.1254,1589621.6121
1679881.2208,1736794.5677,1716375.0267,1632197.0578,2130729.6173,2193369.3405999998,2424901.0349
1891275.2421999997,1872844.352,1914350.0176,2130729.6173,1940089.4943,1912127.6232999999,1870295.0372000001
1685486.7752999999,1733338.7357,1700308.6452,1864051.7728,2047231.3705000002,2002400.6669,2253221.0625
1688881.4526,1775425.0188000002,1688881.4526,1914350.0176,2029408.867,2059183.1063,2329658.1069
1669052.6461999998,1719984.9918000002,1664005.3696,1522525.9569,2155152.793,2220741.7260000003,2357734.8534000004
1676402.9413,1724882.3113000002,1724882.3113000002,1935620.0425,2052043.8037999999,2063921.5517000002,2130729.6173
1742529.4327,1770490.3217,1773395.3204,1604209.3232999998,2139299.7449000003,2005691.1472,2227968.4676
1956018.5879000002,1791236.079,1795377.8464000002,2155152.793,2121430.4693,1783134.9526,1555755.149
1809847.0892999999,1875091.6138999998,1872844.352,1807565.8147999998,2032615.5752,1984487.1557999998,1937893.9313
1984487.1557999998,2005691.1472,2032615.5752,1572139.1166,1908686.0508,1937893.9313,1995145.5609000002
1775425.0188000002,1819769.3294,1809847.0892999999,1845205.5416,1998948.834,1950748.9864999999,2012789.6120000002
2012789.6120000002,2008269.3962,2063921.5517000002,2149910.0485,1799635.5318,1742529.4327,1479526.586
1700308.6452,1748937.5246,1778313.7887000002,1809847.0892999999,2040092.5850000002,1991283.0111000002,2121430.4693
1740170.1572,1856364.8715,1756350.9233,1826171.7225000001,2024265.5365,1948063.1294,1897912.9905
2139299.7449000003,2085100.2643,2149910.0485,1799635.5318,1600744.96,1819769.3294,1704967.4016
1711871.1112,1745580.9937,1829340.0365,2002400.6669,1965468.5761,1965468.5761,2063921.5517000002
2208621.6533999997,2171878.7754,2204781.5393,1791236.079,1686956.8002,1733338.7357,1575398.9024
1822214.5201,1860810.5449,1733338.7357,1965468.5761,1987207.0408,1932135.9000999997,2005691.1472
1845205.5416,1870295.0372000001,1742529.4327,2059183.1063,1900676.9186,1860810.5449,1822214.5201
1826171.7225000001,1937893.9313,1991283.0111000002,1956018.5879000002,1773395.3204,1897912.9905,1795377.8464000002
1760269.9695000001,1829340.0365,1848649.2568,1979444.0633999999,1880308.5518,1935620.0425,1914350.0176
1733338.7357,1826171.7225000001,1770490.3217,1597191.9628,1950748.9864999999,2029408.867,2125909.5094999997
2047231.3705000002,2024265.5365,1897912.9905,1657557.3766,1748937.5246,1875091.6138999998,1807565.8147999998
1940089.4943,1908686.0508,1923445.6265,1831467.7914999998,1826171.7225000001,1818392.1487,1696362.4644000002
1979444.0633999999,1940089.4943,1845205.5416,2077047.6619,1803184.6270999997,1766851.0153,1583149.7867
2024265.5365,2047231.3705000002,1984487.1557999998,2063921.5517000002,1676402.9413,1623284.6053,1179026.6039
2029408.867,1914350.0176,1969405.0629,1987207.0408,1700308.6452,1700308.6452,1748937.5246
2077047.6619,2012789.6120000002,2029408.867,1945010.9456,1679881.2208,1629708.1088999999,1645216.9561
1623284.6053,1686956.8002,1719984.9918000002,1594458.4492,1969405.0629,1987207.0408,2149910.0485
1925667.1335999998,1998948.834,1965468.5761,2234706.0730999997,1783134.9526,1591902.2421,1359228.8467
1900676.9186,1886059.3059999999,1979444.0633999999,1886059.3059999999,1870295.0372000001,1795377.8464000002,1565725.8645
2052043.8037999999,2019680.3495,1974058.6945,2008269.3962,1669052.6461999998,1639889.5352,1269402.0484000002
1937893.9313,1948063.1294,1932135.9000999997,1937893.9313,1688881.4526,1692133.2299,1599166.6094999998
